id,작성일,제목,가족형태,공간,평수구간,스타일,세부공사,분야,작업,예산,조회,스크랩,좋아요,댓글,url
3041,2021-03-05,거실과 작업 공간을 한 곳에 담은 서재형 거실,신혼부부,아파트,35,"모던, 미니멀&심플, 빈티지&레트로","조명시공, 중문",홈스타일링,반셀프,0,54150,1299,293,43,https://ohou.se/projects/43397/detail?affect_type=ProjectSelfIndex&affect_id=3041
3042,2021-03-05,"17년 된 작은 집, 화이트 베이스에 색감 한 스푼",신혼부부,아파트,35,"미니멀&심플, 내추럴","주방리모델링, 조명시공, 중문",리모델링,전문가,3000,91353,1679,493,68,https://ohou.se/projects/42256/detail?affect_type=ProjectSelfIndex&affect_id=3042
3043,2021-03-06,수납으로 잘 넣고 감성으로 잘 꾸민 화이트&원목 작은방,부모님과 함께 사는 집,아파트,35,0,0,리모델링,반셀프,200,28711,964,126,17,https://ohou.se/projects/44746/detail?affect_type=ProjectSelfIndex&affect_id=3043
3044,2021-03-04,우드 프레임에 담은 24평 신혼집 ,신혼부부,아파트,25,"미니멀&심플, 내추럴","주방리모델링, 조명시공, 가벽&파티션",리모델링,전문가,1800,99121,2888,764,140,https://ohou.se/projects/44297/detail?affect_type=ProjectSelfIndex&affect_id=3044
3045,2021-03-04,취향의 온도를 맞춰가요. 북한산 뷰 나만의 아지트,부모님과 함께 사는 집,아파트,55,내추럴,0,홈스타일링,반셀프,0,52582,1302,330,58,https://ohou.se/projects/43136/detail?affect_type=ProjectSelfIndex&affect_id=3045
3046,2021-03-04,남향의 햇살과 함께 사는 빈티지한 나의 오피스텔 ,싱글라이프,원룸&오피스텔,25,"빈티지&레트로, 유니크&믹스매치",0,홈스타일링,셀프•DIY,100,39769,1251,273,48,https://ohou.se/projects/42608/detail?affect_type=ProjectSelfIndex&affect_id=3046
3047,2021-03-05,"식물, 원목, 화이트를 메인으로 꾸민 30평대 아파트",신혼부부,아파트,35,0,0,홈스타일링,셀프•DIY,200,38579,861,94,16,https://ohou.se/projects/44452/detail?affect_type=ProjectSelfIndex&affect_id=3047
3048,2021-03-04,"용기를 낸 덕분에 알게 된 나의 취향, 나의 행복",부모님과 함께 사는 집,아파트,5,"모던, 빈티지&레트로, 유니크&믹스매치",0,홈스타일링,셀프•DIY,100,114338,4360,1139,116,https://ohou.se/projects/43096/detail?affect_type=ProjectSelfIndex&affect_id=3048
3049,2021-03-04,두 아이와 함께 살지만 언제나 단정한 하얀색의 집,아기가 있는 집,아파트,35,0,0,리모델링,전문가,0,96065,1650,584,46,https://ohou.se/projects/44114/detail?affect_type=ProjectSelfIndex&affect_id=3049
3050,2021-03-04,"원룸도 투룸처럼, 공간 분리로 편리와 취향을 담은 공간",싱글라이프,원룸&오피스텔,5,0,0,홈스타일링,셀프•DIY,0,74264,1480,200,17,https://ohou.se/projects/44737/detail?affect_type=ProjectSelfIndex&affect_id=3050
3051,2021-03-03,"10대가 직접 꾸민, 리얼 하이틴룸 (feat. 핑크)","취학 자녀가 있는 집, 부모님과 함께 사는 집",아파트,35,"미니멀&심플, 클래식&앤틱, 러블리&로맨틱",0,홈스타일링,셀프•DIY,3000,55206,907,254,29,https://ohou.se/projects/42651/detail?affect_type=ProjectSelfIndex&affect_id=3051
3052,2021-03-02,무턱대고 뛰어든 반셀프 공사로 잊지 못 할 첫 집 완성,신혼부부,아파트,25,"모던, 미니멀&심플","포세린타일, 주방리모델링, 조명시공",리모델링,반셀프,1500,99253,3766,828,164,https://ohou.se/projects/44254/detail?affect_type=ProjectSelfIndex&affect_id=3052
3053,2021-03-02,"세로로 긴 35평, 그리고 루프탑 프리덤!",신혼부부,빌라&연립,35,"내추럴, 북유럽",조명시공,홈스타일링,셀프•DIY,100,50543,964,270,36,https://ohou.se/projects/42511/detail?affect_type=ProjectSelfIndex&affect_id=3053
3054,2021-03-02,"집을 가꾼다는 건 나를 가꾼다는 것, 아늑한 내 자췻집",싱글라이프,빌라&연립,15,내추럴,조명시공,홈스타일링,셀프•DIY,200,41897,1117,254,29,https://ohou.se/projects/42356/detail?affect_type=ProjectSelfIndex&affect_id=3054
3055,2021-03-03,"첫 신혼집은 심플,모던,깔끔 이 세 가지로 꾸며봤어요",신혼부부,아파트,25,0,0,리모델링,반셀프,1500,42855,817,77,19,https://ohou.se/projects/44450/detail?affect_type=ProjectSelfIndex&affect_id=3055
3056,2021-03-02,"제주에서 두 번째 기록, 1년만에 다른 집처럼",싱글라이프,단독주택,25,"북유럽, 빈티지&레트로","헤링본 마루, 주방리모델링, 가벽&파티션, 슬라이딩도어, 발코니확장",리모델링,반셀프,0,60910,961,295,66,https://ohou.se/projects/43849/detail?affect_type=ProjectSelfIndex&affect_id=3056
3057,2021-03-02,정리를 좋아해요. 집순이의 따뜻한 우드 신혼집,신혼부부,아파트,25,내추럴,"중문, 가벽&파티션",홈스타일링,셀프•DIY,0,83703,2156,616,64,https://ohou.se/projects/43812/detail?affect_type=ProjectSelfIndex&affect_id=3057
3058,2021-03-02,"89년생 부부의 동갑내기 집, 89빌라",신혼부부,빌라&연립,15,모던,조명시공,홈스타일링,셀프•DIY,0,36862,499,101,22,https://ohou.se/projects/44190/detail?affect_type=ProjectSelfIndex&affect_id=3058
3059,2021-03-02,'꼼꼼한' 예비신랑과 함께 완성한 '깔끔한' 신혼집,신혼부부,아파트,45,"모던, 미니멀&심플","주방리모델링, 조명시공, 폴딩도어, 중문, 가벽&파티션",리모델링,전문가,0,72655,1467,419,65,https://ohou.se/projects/42322/detail?affect_type=ProjectSelfIndex&affect_id=3059
3060,2021-03-02,"빈티지 느낌 가득,첫 자취 로망을 다 담은 유럽풍 집",싱글라이프,빌라&연립,5,0,0,홈스타일링,셀프•DIY,0,28100,937,128,20,https://ohou.se/projects/44448/detail?affect_type=ProjectSelfIndex&affect_id=3060
3061,2021-03-01,多주택 | 콘크리트 오브제 <GREYCOUCH>,기타,단독주택,35,모던,"원목마루, 포세린타일, 주방리모델링, 조명시공, 가벽&파티션, 슬라이딩도어",건축,전문가,0,26233,374,111,53,https://ohou.se/projects/40166/detail?affect_type=ProjectSelfIndex&affect_id=3061
3062,2021-02-28,우드톤 가구/소품을 활용한 홈스타일링만으로 충분!,신혼부부,아파트,35,내추럴,0,홈스타일링,셀프•DIY,1000,57891,1598,298,45,https://ohou.se/projects/44168/detail?affect_type=ProjectSelfIndex&affect_id=3062
3063,2021-02-28,아파트 맞아요. 전원주택 같은 아파트 1층 리모델링,취학 자녀가 있는 집,아파트,45,0,0,리모델링,전문가,0,358098,16819,6915,545,https://ohou.se/projects/43836/detail?affect_type=ProjectSelfIndex&affect_id=3063
3064,2021-02-28,빈티지 무드 가득한 파리의 아파트로 check-in!,신혼부부,아파트,15,"미니멀&심플, 북유럽",0,홈스타일링,셀프•DIY,0,54876,1819,354,48,https://ohou.se/projects/43805/detail?affect_type=ProjectSelfIndex&affect_id=3064
3065,2021-02-28,"부모님 지붕 아래, 취향 가득 나만의 공간",부모님과 함께 사는 집,아파트,35,"빈티지&레트로, 클래식&앤틱",0,홈스타일링,셀프•DIY,100,72487,2558,608,67,https://ohou.se/projects/42738/detail?affect_type=ProjectSelfIndex&affect_id=3065
3066,2021-03-01,원하던 빈티지 취향을 적절히 섞어 매일이 설레는 집,싱글라이프,원룸&오피스텔,5,0,0,홈스타일링,셀프•DIY,200,37865,743,71,6,https://ohou.se/projects/44446/detail?affect_type=ProjectSelfIndex&affect_id=3066
3067,2021-02-27,"기나긴 발품 끝에 찾아낸, 쏟아지는 빛과 탁 트인 뷰",신혼부부,아파트,35,0,0,리모델링,전문가,0,194060,6690,2416,170,https://ohou.se/projects/43621/detail?affect_type=ProjectSelfIndex&affect_id=3067
3068,2021-02-27,낡은 원룸이 집순이의 아지트로 | 3가지만 기억하세요!,싱글라이프,원룸&오피스텔,5,미니멀&심플,0,홈스타일링,셀프•DIY,0,154929,3007,617,42,https://ohou.se/projects/43332/detail?affect_type=ProjectSelfIndex&affect_id=3068
